Date,000001.SS,IMOEX.ME,^BVSP,^GSPC
2024-08-14,93.07479787444434,,104.5393596750543,105.3432398090516
2024-08-15,93.94668765343205,,105.19411271161854,107.04276839718835
2024-08-16,94.01433984036251,,105.03728563699238,107.25575988808917
2024-08-19,94.47941574401185,,106.4683326929561,108.29853092539518
2024-08-20,93.5974263631812,,106.71063052325354,108.08360649121953
2024-08-21,93.26841210424925,,107.00624955892386,108.54184605323157
2024-08-22,93.01334733726428,,105.99393079221198,107.57226284860397
2024-08-23,93.19605686673682,,106.33502967952386,108.80755503608097
2024-08-26,93.23367330012023,,107.33950709250446,108.46440574534859
2024-08-27,93.01200816353926,,107.25089979534066,108.637427740923
2024-08-28,92.64299406084425,,107.69628868727897,107.9882133833598
2024-08-29,92.17534343628311,,106.67456029608952,107.98396090815521
2024-08-30,92.79923099543095,,106.64554728728368,109.07384861640863
2024-09-02,91.7812198262438,,105.84337680057085,
2024-09-03,91.51819175835821,,105.35093978624471,106.76681952947824
2024-09-04,90.9076002811946,,106.72944977220868,106.59572104818704
2024-09-05,91.039373381483,,107.03604670310283,106.27401328431768
2024-09-06,90.30450977114558,,105.52266543296034,104.43969726148138
2024-09-09,89.34723969591509,,105.65204776952693,105.64911629605072
2024-09-10,89.59877318932752,,105.32506331893138,106.12165020930475
2024-09-11,88.86750462274001,,105.60499964713908,107.25344035615943
2024-09-12,88.71496635844149,,105.09687992535031,108.0573373206653
2024-09-13,88.28943593604139,,105.7657473986309,108.64168021612757
2024-09-16,,,105.95080334668978,108.77820258527863
2024-09-17,,,105.8269099577351,108.80697986759434
2024-09-18,88.72012377153729,,104.87653788550055,108.49182525287613
2024-09-19,89.33202253733724,,104.38645327729378,110.33367503998835
2024-09-20,89.35788134426578,,102.77270267939056,110.11951435413106
2024-09-23,89.7530810760484,,102.38298739894456,110.42887013902482
2024-09-24,93.48201031339136,,103.6281943714763,110.7061767815231
2024-09-25,94.56534605803452,,103.18123720879173,110.50012502842841
2024-09-26,97.98210433454663,,104.29784598013,110.9463992001198
2024-09-27,100.8088449873731,,104.07828807565338,110.80735929021569
2024-09-30,108.93773312483674,,103.36158834461182,111.27680049423003
2024-10-01,,,103.89401626296764,110.23924368927022
2024-10-02,,,104.69383434356108,110.25449979765385
2024-10-03,,,103.24867285088098,110.06911639411223
2024-10-04,,,103.34276909565668,111.05646381888492
2024-10-07,,,103.51998368998423,109.99187409505254
2024-10-08,113.94230504799143,,103.12321119118005,111.05762358484981
2024-10-09,106.40278886116745,,101.90780136282729,111.84762221576021
2024-10-10,107.80897707135301,,102.21439829372143,111.6160838984128
2024-10-11,105.06021140292079,,101.93132542402121,112.29156742653024
2024-10-14,107.23423240515042,,102.72565455700271,113.15707342204884
2024-10-15,104.52324259554506,,102.7554517011817,112.29600848156652
2024-10-16,104.57731173469311,,103.30983540998517,112.82145789559239
2024-10-17,103.48143717892214,,102.55941785789899,112.80214732082747
2024-10-18,106.49111055684199,,102.32888205819852,113.25014699797879
2024-10-21,106.70487616269972,,102.2214555120796,113.04371808522073
2024-10-22,107.28464273037117,,101.71882473790275,112.99003883613055
2024-10-23,107.83760988099766,,101.33616667581491,111.95151084503753
2024-10-24,107.10167014891692,,101.99013557700603,112.19173326363423
2024-10-25,107.73629501168149,,101.85369602208125,112.15813776661886
2024-10-28,108.47086368494854,,102.88875471461394,112.4555187322004
2024-10-29,107.30227518441737,,102.51001732939176,112.63703624919242
2024-10-30,106.64375244767876,,102.43866101043683,112.26530768496758
2024-10-31,107.08733780155025,,101.7125516549177,110.1755225641426
2024-11-01,106.83233680474264,,100.46420814089345,110.62641694171036
2024-11-04,108.0793546521819,,102.34142822416862,110.31532622236504
2024-11-05,110.58624800907512,,102.45591198864572,111.66841480170642
2024-11-06,110.48238233266368,,102.20498866924386,114.49317095855504
2024-11-07,113.31822617831146,,101.68824345835066,115.34399601417668
2024-11-08,112.71864302801846,,100.23602474731237,115.77732418042261
2024-11-11,113.29880018802636,,100.27052670373013,115.88951975128583
2024-11-12,111.72845159871436,,100.13251887805912,115.55429081348436
2024-11-13,112.29356696813223,,100.16074775149181,115.58112572353367
2024-11-14,110.35286510240016,,100.2062276031334,114.88189056561504
2024-11-15,108.74930819321631,,,113.36504868942674
2024-11-18,108.52477339865312,,100.18740835417827,113.80919190902003
2024-11-19,109.24833374504954,,100.52380242925139,114.26028429541107
2024-11-20,109.96595549367723,,,114.26279240717253
2024-11-21,110.04480731801047,,99.5240298285096,114.87300845554249
2024-11-22,106.67489620805786,,101.2522641908899,115.27138334998493
2024-11-25,106.56284403512493,,101.18169200730813,115.61955829323183
2024-11-26,106.43214705657984,,101.87643594790205,116.28113405876223
2024-11-27,108.065381012063,,100.10977895223832,115.839121791267
2024-11-28,107.6056299182251,,97.71110884583113,
2024-11-29,108.6098906429142,,98.54072407060355,116.48872273748519
2024-12-02,109.8351230035052,,98.20197758941104,116.77394030392281
2024-12-03,110.31913067856492,,98.91005183134817,116.82665779587138
2024-12-04,109.85693240416995,,98.86927679194535,117.53362472688926
2024-12-05,109.99422959607412,,100.25798053776005,117.31386322003078
2024-12-06,111.14420517608181,,98.75871370433391,117.60661455074437
2024-12-09,111.09385862103846,,99.74986081597127,116.88401435167953
2024-12-10,111.75101029896335,,100.54811062581844,116.53758377187573
2024-12-11,112.07193371663993,,101.618455410142,117.48920474753497
2024-12-12,113.01912013257183,,98.83399070015447,116.8531155462573
2024-12-13,110.74593650451266,,97.71267711657741,116.85002283701762
2024-12-16,110.56482920074684,,96.88776670404378,117.29397747677923
2024-12-17,109.75360080299407,,97.78011275866666,116.84075413829011
2024-12-18,110.43021035629275,,94.70159728375506,113.39478772888405
2024-12-19,110.03269098430783,,95.02779759897749,113.29668850043957
2024-12-20,109.96857007094991,,95.74449733001906,114.52812423035856
2024-12-23,109.41965232658717,,94.69767660688942,115.36272199146336
2024-12-24,110.79981433312855,,,116.63664475746182
2024-12-25,110.79400327571459,,,
2024-12-26,110.948335076252,,94.9415427079331,116.58933007769112
2024-12-27,111.01576406756163,,94.30717719107027,115.30034921213232
2024-12-30,111.250318751246,,94.3181550862941,114.06640537045188
2024-12-31,109.4361688025292,,,113.57765359167263
2025-01-02,106.52369711748435,,94.19426169733943,113.32506976510874
2025-01-03,104.85424967252021,,92.94591818331517,114.75251537208497
2025-01-06,104.70709998821049,,94.11349575390695,115.38801997588442
2025-01-07,105.4489464329713,,95.00819421464922,114.10676145443325
2025-01-08,105.4660527830541,,93.80219401077402,114.28480910252219
2025-01-09,104.85304601042212,,93.92451912898242,
2025-01-10,103.4533543870574,,93.19919390883642,112.52349233253263
2025-01-13,103.19969256397484,,93.31759835017918,112.70076680331161
2025-01-14,105.81776125386197,,93.54656587913337,112.82995341700999
2025-01-15,105.36643579471072,,96.17420351449474,114.89618491685705
2025-01-16,105.65751476937237,,95.0638678261415,114.6534449575073
2025-01-17,105.84652957513359,,95.9389629025555,115.79895428711733
2025-01-20,105.93001270859924,,96.09030102956974,
2025-01-21,105.87271520422121,,96.71368865120874,116.81430581689578
2025-01-22,104.92588749553708,,96.42669510464287,117.53130519495949
2025-01-23,105.46592524269933,,96.0432529071819,118.15580616557988
2025-01-24,106.1993141676848,,96.01502403374919,117.8184557046719
2025-01-27,106.13320043628367,,97.90871095986012,116.10057829891186
2025-01-28,,,97.27669784911667,117.17077827273698
2025-01-29,,,96.78739737628305,116.6225484150431
2025-01-30,,,99.51697261015143,117.23778068693598
2025-01-31,,,98.90691528985565,116.64610203602102
2025-02-03,,,98.77753295328905,115.75858877414436
2025-02-04,,,98.1321895412024,116.59493089869228
2025-02-05,105.44385279005289,,98.43564993060401,117.05066234894284
2025-02-06,106.78809624418366,,98.9774874734374,117.47722992822274
2025-02-07,107.86582021321718,,97.71816606418933,116.36533495361125
2025-02-10,108.46994698864867,,98.46544707478299,117.14644204545755
2025-02-11,108.33565496635367,,99.21037567925727,117.18622296095229
2025-02-12,109.26057761910695,,97.53075771001104,116.86702330884435
2025-02-13,108.80666946777171,,97.89930133538253,118.08551303331791
2025-02-14,109.27164971615495,,100.54105340746027,118.07701751190034
2025-02-17,109.56896222565571,,101.0507413999953,
2025-02-18,108.5457298731954,,100.78648777925021,118.3657143762326
2025-02-19,109.42885914594673,,99.82749021791122,118.64706605612061
2025-02-20,109.4041721160276,,100.05645774686542,118.13282771308862
2025-02-21,110.32915853895828,,99.68556171537453,116.11699417326035
2025-02-24,110.13048255132362,,98.33135992597762,115.53999646224236
2025-02-25,109.2493142115268,,98.78537430702036,114.99930036882444
2025-02-26,110.36510897645758,,97.83578637015894,115.01494306586302
2025-02-27,110.62134552045192,,97.85931043135287,113.19028233040922
2025-02-28,108.42838477553973,,96.29103968509123,114.98481743775073
2025-03-03,108.2987001485606,,,112.9614595626381
2025-03-04,108.53655493892451,,,111.57939569215776
2025-03-05,109.11626570769073,,96.48550525762768,112.82454117584051
2025-03-06,110.39396498172307,,96.72937135867136,110.81411987718172
2025-03-07,110.11473928878237,,98.04436637941174,111.42588228017154
2025-03-10,109.90633834909693,,97.63975252687625,108.42038178364083
2025-03-11,110.35249842388022,,96.84620752926786,107.5998709359632
2025-03-12,110.09443645855828,,97.12614385747555,108.12569750965247
2025-03-13,109.66361311143544,,98.51641587403648,106.62372515319282
2025-03-14,111.64983094127412,,101.11974531283082,108.89117133345177
2025-03-17,111.86424222017786,,102.59156740819735,109.58983132288375
2025-03-18,111.9827670661151,,103.0941981823742,108.42231472691566
2025-03-19,111.87403891367822,,103.90421002281833,109.59311261195512
2025-03-20,111.30327988356203,,103.470583161477,109.35366337066836
2025-03-21,109.86284708812218,,103.77639595699802,109.44384224618192
2025-03-24,110.03253155886439,,102.97344133491207,111.3750883025062
2025-03-25,110.03083367789156,,103.55919045864077,111.55042983001037
2025-03-26,109.98907218297833,,103.9136196472959,110.30586894380585
2025-03-27,110.15402171804989,,104.4068407969952,109.94108954637876
2025-03-28,109.42127846611041,,103.42902398670107,107.77115799708605
2025-03-31,108.91321349163323,,102.14147370402027,108.36805088034723
2025-04-01,109.32751239154189,,102.83700177998729,108.77781599662366
2025-04-02,109.3827533076993,,102.87071960103191,109.50969432340763
2025-04-03,109.11766865159316,,102.83229696774852,104.2099033075771
2025-04-04,,,99.78593104313529,97.9834027118534
2025-04-07,101.10422844900806,,98.47799324075308,97.75495710374568
2025-04-08,102.7032178192369,,97.17946506284845,96.22015299858904
2025-04-09,104.05040267279944,,100.20936414462594,105.37587354892534
2025-04-10,105.25284516624845,,99.07942507194441,101.72906961877078
2025-04-11,105.72918447747793,,100.11997271208901,103.56956163109486
2025-04-14,106.53176404492322,,101.50946059327681,104.39239201070227
2025-04-15,106.69024887826266,,101.34557630029248,104.21202483068359
2025-04-16,106.96261130586258,,100.61789867402709,101.87680305891573
2025-04-17,107.10422095601221,,101.66315112641047,102.0119770822702
2025-04-18,106.98631786930446,,,
2025-04-21,107.46641164972732,,,99.60781052403695
2025-04-22,107.73816028936993,,102.30143732013894,102.10968029306815
2025-04-23,107.6270806116421,,103.67524249386415,103.81094381565643
2025-04-24,107.65754681388651,,105.5289385159454,105.9140615305818
2025-04-25,107.5848009840376,,105.65361604027319,106.69498004259641
2025-04-28,107.36783889803858,,105.87082153863044,106.76334023158358
